method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
STTDFPM,colon-cancer,3,2000,62,true,1221,3403,0.205836000,9.913964e-12,1.000000
SOPP,colon-cancer,4,2000,62,true,2229,8238,0.732945800,9.691438e-12,1.000000
SDLP,colon-cancer,4,2000,62,true,1210,5006,0.303820200,9.953513e-12,1.000000
MOPCGM,colon-cancer,4,2000,62,true,3417,10017,0.654755400,9.926912e-12,1.000000
CGPM,colon-cancer,4,2000,62,false,5000,31358,2.034023500,6.245568e-11,NaN
STTDFPM,colon-cancer,4,2000,62,true,1314,3846,0.231448300,9.634694e-12,1.000000
SOPP,colon-cancer,5,2000,62,true,1470,7224,0.433710700,9.871058e-12,1.000000
SDLP,colon-cancer,5,2000,62,true,1136,4600,0.277661700,9.551454e-12,1.000000
MOPCGM,colon-cancer,5,2000,62,true,3152,10547,0.852426500,9.982543e-12,1.000000
CGPM,colon-cancer,5,2000,62,false,5000,31332,1.838466500,4.602184e-11,NaN
STTDFPM,colon-cancer,5,2000,62,true,1321,3771,0.397738300,9.018682e-12,1.000000
SOPP,w1a.t,1,300,47272,true,728,2040,21.053333100,9.105731e-12,0.911956
SDLP,w1a.t,1,300,47272,true,719,2734,28.364407500,9.615200e-12,0.911956
MOPCGM,w1a.t,1,300,47272,true,2491,4982,51.214247800,9.991764e-12,0.911956
CGPM,w1a.t,1,300,47272,true,3008,15687,163.255234200,9.876918e-12,0.911956
STTDFPM,w1a.t,1,300,47272,true,862,2284,23.964874000,9.905291e-12,0.911956
SOPP,w1a.t,2,300,47272,true,772,2224,23.143974300,9.878394e-12,0.911956
SDLP,w1a.t,2,300,47272,true,711,2735,28.129562700,9.755489e-12,0.911956
MOPCGM,w1a.t,2,300,47272,true,2485,4970,51.516980900,9.987642e-12,0.911956
CGPM,w1a.t,2,300,47272,true,2859,15355,159.643778600,9.776602e-12,0.911956
STTDFPM,w1a.t,2,300,47272,true,847,2332,24.065997100,9.889094e-12,0.911956
SOPP,w1a.t,3,300,47272,true,808,2388,24.924199300,9.683734e-12,0.911956
SDLP,w1a.t,3,300,47272,true,716,2728,28.253542000,9.768170e-12,0.911956
MOPCGM,w1a.t,3,300,47272,true,2502,5004,52.143722100,9.900131e-12,0.911956
CGPM,w1a.t,3,300,47272,true,3215,16773,174.253281900,9.965622e-12,0.911956
STTDFPM,w1a.t,3,300,47272,true,896,2411,24.894774000,9.924062e-12,0.911956
SOPP,w1a.t,4,300,47272,true,799,2291,24.418502900,9.736666e-12,0.911956
SDLP,w1a.t,4,300,47272,true,717,2758,28.724449000,9.671639e-12,0.911956
MOPCGM,w1a.t,4,300,47272,true,2494,4988,51.325706800,9.970393e-12,0.911956
