method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,10,P10,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,5,21,44,6.7501559897209518e-12,0.012163999999999999
SOPP,tau=0.1,tau,10,P10,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,7,37,76,5.5267917950355959e-12,0.0058266999999999998
SOPP,tau=0.1,tau,10,P10,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,1,32,67,4.4948058676797755e-12,0.0065221999999999997
SOPP,tau=0.1,tau,11,P11,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,9.8565466387899794e-12,0.031787700000000002
SOPP,tau=0.1,tau,11,P11,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,21,43,5.4080783936400373e-12,0.016992899999999998
SOPP,tau=0.1,tau,11,P11,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,22,44,6.3474002876435118e-12,0.0052046000000000002
SOPP,tau=0.1,tau,11,P11,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,22,44,9.8274676058447824e-12,0.0050543999999999997
SOPP,tau=0.1,tau,11,P11,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,22,45,3.9528637309333434e-12,0.0050238000000000001
SOPP,tau=0.1,tau,11,P11,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,22,45,4.3663178563223126e-12,0.0082754000000000005
SOPP,tau=0.1,tau,11,P11,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,24,52,5.5994045272785723e-12,0.043086800000000001
SOPP,tau=0.1,tau,11,P11,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,52,416,3.3424126545660758e-12,0.17432220000000001
SOPP,tau=0.1,tau,11,P11,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,9.4767167521682235e-12,0.0044346000000000003
SOPP,tau=0.1,tau,11,P11,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,46,6.0551329504323331e-12,0.0052906999999999997
SOPP,tau=0.1,tau,12,P12,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,16,32,7.8048678631148505e-12,0.069776400000000002
SOPP,tau=0.1,tau,12,P12,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,15,31,3.3917313402298532e-12,0.0055678999999999998
SOPP,tau=0.1,tau,12,P12,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,16,33,7.0887740122316245e-12,0.0066426999999999996
SOPP,tau=0.1,tau,12,P12,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,4.2743586448068527e-12,0.0066806000000000001
SOPP,tau=0.1,tau,12,P12,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,8.5154105988749507e-12,0.0075341999999999996
SOPP,tau=0.1,tau,12,P12,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,35,9.8587804586713901e-12,0.0077060999999999996
SOPP,tau=0.1,tau,12,P12,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,17,36,4.0023540037736893e-12,0.0078758000000000005
SOPP,tau=0.1,tau,12,P12,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,19,40,3.6248781754011361e-12,0.022569700000000002
SOPP,tau=0.1,tau,12,P12,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,26,52,6.3138435529593842e-12,0.0062811999999999998
SOPP,tau=0.1,tau,12,P12,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,28,56,5.895896511999481e-12,0.0064194999999999999
