method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time,tsel,srule
SDLP,srule=r2,srule,12,P12,10000,5.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,18,70,9.2092999892656735e-12,0.0073502000000000003,,r2
SDLP,srule=r2,srule,12,P12,10000,1/k,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,28,102,5.9818559767937034e-12,0.0095563000000000002,,r2
SDLP,srule=r2,srule,12,P12,10000,k/n,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,23,84,6.9156576660957758e-12,0.0080552999999999996,,r2
SDLP,srule=r2,srule,13,P13,10000,0.4,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,18,81,5.1181281435219717e-12,0.0072259000000000004,,r2
SDLP,srule=r2,srule,13,P13,10000,0.5,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,2.7977620220553945e-12,0.0074156999999999999,,r2
SDLP,srule=r2,srule,13,P13,10000,0.6,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,4.3409720262843621e-12,0.0077637000000000001,,r2
SDLP,srule=r2,srule,13,P13,10000,0.8,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,7.1831429693247628e-12,0.0086913000000000008,,r2
SDLP,srule=r2,srule,13,P13,10000,1.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,7.0277117458772409e-12,0.0077432000000000004,,r2
SDLP,srule=r2,srule,13,P13,10000,1.1,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,6.8167693711984612e-12,0.0075861000000000001,,r2
SDLP,srule=r2,srule,13,P13,10000,2.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,17,75,7.7271522513910895e-12,0.0068963999999999996,,r2
SDLP,srule=r2,srule,13,P13,10000,5.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,19,84,3.2862601528904634e-12,0.0079419,,r2
SDLP,srule=r2,srule,13,P13,10000,1/k,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,32,131,6.8187457762074327e-12,0.0114097,,r2
SDLP,srule=r2,srule,13,P13,10000,k/n,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,43,172,7.9277506636519173e-12,0.016717599999999999,,r2
SDLP,srule=r2,srule,14,P14,10000,0.4,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,25,111,2.4091839634365897e-12,0.010882299999999999,,r2
SDLP,srule=r2,srule,14,P14,10000,0.5,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,24,108,7.8270723236073536e-12,0.010203500000000001,,r2
SDLP,srule=r2,srule,14,P14,10000,0.6,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,102,8.4710016778899444e-12,0.0093541000000000006,,r2
SDLP,srule=r2,srule,14,P14,10000,0.8,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,24,108,7.1387340483397566e-12,0.0114152,,r2
SDLP,srule=r2,srule,14,P14,10000,1.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,25,111,3.397282455352979e-12,0.0098735999999999997,,r2
SDLP,srule=r2,srule,14,P14,10000,1.1,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,102,6.2727600891321345e-12,0.0096474000000000004,,r2
SDLP,srule=r2,srule,14,P14,10000,2.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,24,103,5.007105841059456e-12,0.0094050999999999996,,r2
